claim_id,policy_id,customer_id,product,claim_amount,claim_date,report_delay_days,settlement_days,channel,state,suspected_fraud,status
C100000,P202619,U303589,Home,39716.22,2023-04-13,1,20,Branch,KL,0,Approved
C100001,P200456,U305720,Life,15441.09,2024-03-11,7,25,Online,TS,0,Rejected
C100002,P200102,U303970,Life,39338.59,2023-09-28,1,28,Agent,KL,0,Approved
C100003,P203037,U300994,Health,57794.69,2023-04-17,6,25,Online,UP,0,Approved
C100004,P201126,U300236,Motor,30672.06,2023-03-13,3,24,Agent,DL,0,Approved
C100005,P201003,U305161,Motor,19831.6,2023-01-21,5,23,Agent,KA,0,Approved
C100006,P200914,U304987,Life,28927.28,2024-09-06,4,18,Partner,TN,0,Rejected
C100007,P200571,U301960,Health,19362.75,2023-05-02,6,34,Agent,DL,0,Approved
C100008,P203016,U305814,Motor,17816.11,2024-04-11,6,24,Online,KA,0,Approved
C100009,P200419,U301297,Health,37859.23,2023-08-03,5,23,Branch,DL,0,Rejected
C100010,P202771,U302545,Motor,25096.28,2023-11-27,4,26,Online,TN,0,Approved
C100011,P203033,U304512,Health,49145.86,2024-04-03,6,23,Agent,RJ,0,Approved
C100012,P203654,U300112,Motor,21564.17,2023-03-29,4,27,Agent,KL,0,Approved
C100013,P202233,U304524,Life,22683.95,2024-01-08,4,23,Agent,DL,0,Approved
C100014,P200356,U303342,Motor,20266.9,2023-04-10,5,17,Online,UP,0,Approved
C100015,P202418,U300763,Health,15365.93,2023-05-11,5,26,Online,TS,0,Approved
C100016,P201728,U301840,Motor,40425.35,2023-11-05,6,28,Agent,GJ,0,Approved
C100017,P200130,U300929,Motor,80246.29,2023-12-10,2,22,Partner,UP,0,Approved
C100018,P200122,U303780,Health,22223.07,2024-05-06,6,34,Online,TN,1,Approved
C100019,P200383,U300962,Health,19144.14,2024-02-18,4,28,Agent,TS,0,Approved
C100020,P200895,U305306,Life,18533.56,2024-01-21,3,14,Online,UP,0,Rejected
C100021,P200952,U301261,Motor,19151.44,2023-07-11,4,22,Online,WB,0,Approved
C100022,P202069,U304082,Life,61383.22,2023-10-04,2,21,Agent,KL,0,Approved
C100023,P202465,U305870,Travel,18783.98,2023-06-10,4,18,Agent,TS,0,Approved
C100024,P200108,U302390,Life,20077.73,2024-04-04,6,21,Branch,WB,0,Rejected
C100025,P202298,U304168,Motor,14469.86,2023-11-10,5,31,Online,UP,0,Rejected
C100026,P200814,U305778,Health,31157.94,2023-01-22,6,26,Online,KA,0,Approved
C100027,P202932,U302239,Motor,26013.87,2023-09-10,3,31,Online,MH,0,Approved
C100028,P202661,U303403,Motor,15235.91,2024-07-14,5,24,Agent,KA,0,Approved
C100029,P202872,U303952,Home,17215.84,2024-04-19,4,22,Agent,KL,0,Approved
C100030,P202232,U303868,Motor,57899.65,2023-02-28,2,19,Online,TS,0,Approved
C100031,P201718,U301996,Health,27346.77,2024-05-25,4,42,Agent,TS,0,Approved
C100032,P200902,U303741,Life,28306.39,2024-04-20,5,20,Agent,KL,0,Rejected
C100033,P201839,U304515,Life,28362.61,2023-07-09,3,22,Branch,WB,0,Approved
C100034,P202413,U301184,Health,54030.97,2024-07-16,2,37,Partner,MH,0,Approved
C100035,P201139,U303142,Motor,15952.85,2024-07-20,4,15,Branch,UP,0,Approved
C100036,P203315,U301561,Motor,22066.2,2023-09-01,7,27,Branch,TN,0,Rejected
C100037,P203560,U304910,Health,24723.7,2024-05-19,5,30,Agent,KA,0,Approved
C100038,P200026,U304163,Motor,11377.72,2023-05-11,4,31,Partner,KA,0,Approved
C100039,P203108,U301118,Health,17016.34,2024-04-29,1,35,Agent,GJ,0,Approved
C100040,P203300,U300571,Motor,45403.18,2023-01-21,7,28,Partner,MH,0,Approved
C100041,P200653,U302263,Motor,39344.31,2023-06-16,6,18,Partner,TN,0,Rejected
